Regn_Prefix;Old_Prefix;Country_Name;Period;Remarks
A2-;VQ-ZE, -ZH;Botswana;1972-;
A3-;;Tonga;;
A40-;;Oman;1974-;
A5-;;Bhutan;;
A6-;;United Arab Emirates;1977-;
A7-;;Qatar;1975-;
A9C-;;Bahrain;1977-;
AP-;;Pakistan;1947-;
B-;XT-;China (People's Republic of China);1975-;B- (4 digits)
B-;;Taiwan (Republic of China);1949-;B- (5 digits)
B-H;VR-H;China, Hong Kong;1997;w.e.f. 01/07/1997
B-K;VR-H;China, Hong Kong;1997;w.e.f. 01/07/1997
B-L;VR-H;China, Hong Kong;1997;w.e.f. 01/07/1997
B-M;CS-M;China, Macau;1999-;w.e.f. 20/12/1999
C-;CF-;Canada;1974-;
C2-;;Naura;1971-;
C3-;;Andorra;;
C5-;VP-X;The Gambia;1978-;
C6-;VP-B;Bahamas;1975-;
C9-;CR-A, CR-B;Mozambique;1975-;
CC-;;Chile;1929-;
CN-;;Morocco;1952-;
CP-;CB-;Bolivia;1954-;
CS-;CR-;Portugal;1929-;
CU-;;Cuba;1945-;
CX;;Christmas Islands;;
CX-;;Uruguay;1929-;
D-;DM-, DDR-;Germany;1929-;
D2-;CR-L;Angola;1975-;
D4-;CR-C;Cape Verde Islands;;
D6-;;Comores;1977-;
DQ-;VQ-F;Fiji;1971-;
E3-;;Eritrea;;
E5-;;Cook Islands;;
EC-;M;Spain;1929;
EI-;;Ireland;1929;Also EJ- but not used
EK-;CCCP-;Armenia;;
EL-;LI-;Liberia;1952-;
EP-;RV-;Iran;1944-;
ER-;CCCP-;Moldova, Rep. of;;
ES-;CCCP-;Estonia;;
ET-;;Ethiopia;1929-;
EW-;CCCP-;Belarus;;
EX-;CCCP-;Kyrgyzstan;;
EY-;CCCP-;Tajikistan;;
EZ-;CCCP-;Turkmenistan;;
F-;;France;1929-;
F-O;;Reunion Island;;
F-OD;;New Caledonia;;
F-OG;;Guadeloupe;;
F-OG;;Martinique;;
F-OH;;Tahiti;;
G-;;United Kingdom;1929-;
GL-;;Greenland;;
H4-;VP-P;Solomon Islands;;
HA-;;Hungary;1935-;
HB-;CH-;Switzerland;1935-;
HC-;;Ecuador;1929-;
HH-;;Haiti;1929-;
HI-;;Dominican Republic;1929-;
HK-;C-;Colombia;1946-;
HL;;Korea, Rep. of;1948-;
HP-;RX-;Panama;1952-;
HR-;XH-;Honduras;1961-;
HS-;;Thailand;1929-;
HV-;;Vatican City;;
HZ-;UH-;Saudi Arabia;1945-;
I-;;Italy;1929-;
J2-;;Djibouti;;
J3-;VQ-G;Grenada;;
J5-;CR-G;Guinea Bissau;;
J6-;VQ-L;St. Lucia;;
J7-;;Dominica;;
J8-;VP-V;St. Vincent and Grenadines;;
JA;J;Japan;1948-;
JY-;;Jordan;1954-;
LN-;;Norway;1931-;
LQ-;;Argentina (Government);1932-;
LV-;R-;Argentina;1932-;
LX-;UL-;Luxembourg;1946-;
LY-;;Lithuania;;
LZ-;;Bulgaria;1929-;
M-;;Isle of Man;2007-;
MT-;;Mongolia;;
