Model,Video_file,Annotation_file
ka32,Amazing sound Kamov ka-32.mp4,Annotation_amazing.csv
ka32,Russian Kamov Ka-32 Helicopter Landing & Take Off in CYYF.mp4,Annotation_russian.csv
ka32,Kamov KA32 helicopter korea forest service water pump up during fire fighting(HL9481).mp4,Annotation_korea.csv
ka32,"Kamov Ka-32 Heliswiss Startup, Take-Off & Landing.mp4",Annotation_heliswiss.csv
ka32,Kamov Ka-32 Landing.mp4,Annotation_landing.csv
ka32,Kamov Ka-32 Heavy Lift Helicopter of Heliswiss - Start up & Take Off.mp4,Annotation_heavy.csv
ka32,Kamov Ka-32 Helicopter Engine Startup and Takeoff.mp4,Annotation_helicopter.csv
as355n,Eurocopter AS355 Helicopter Twin Engine Take off.mp4,Annotation_helicopter_twin.csv
as355n,EHS 2012 - Eurocopter AS-355N dynamic demo flight.mp4,Annotation_dynamic.csv
as355n,FlyMeNow Helicopter Charter - Eurocopter AS355 'Twin Squirrel' - Start-up and Take-off....mp4,Annotation_flymenow.csv
as355n,"AS355 TwinStar Helicopter Engine Start, Takeoff & Landing Van Nuys Airport.mp4",Annotation_helicopter_engine.csv
as355n,Helifirst Eurocopter AS355N Ecureuil F-GMBL Helicopter _ Take Off from Paris Heliport.mp4,Annotation_helifirst.csv
as355n,"Eurocopter AS-355 TwinStar startup, take off at Budaörs airfield.mp4",Annotation_budaors.csv
as355n,Eurocopter AS355 - Servei Català de Trànsit.mp4,Annotation_servei.csv
as355n,Aterratge nocturn Eurocopter AS355 Ecureuil 2 EC-KAF Servei Català Transit- Helicopter night landing.mp4,Annotation_aterratge.csv
as355n,Helicòpter Mossos d'esquadra AS355 NP EC-LHE @ Complex Central Egara (Sabadell).mp4,Annotation_mossos.csv
as355n,"Aerospatiale AS-355 F2 engine Startup & Takeoff near Körmend, Hungary.mp4",Annotation_aerospatiale.csv
h145,Airbus Helicopters H145 from ADAC Luftrettung at Klinikum Großhadern.mp4,Annotation_adac.csv
h145,EC145 T2 Demo Flight Malaysia.mp4,Annotation_demo.csv
